TEAM,GP,GF/G,A,PTS,PPG,PP%,SHG,S,S%,PIM,PK%,GA/G,W,L,OTL,SA,GA,PTS%
Columbus Blue Jackets,82,2.62,359,574,64,14.2,10,2250,9.6,1414,81.8,3.37,35,43,4,2762,276,0.475609756
,,,,,,,,,,,,,,,,,,
Chicago Blackhawks,82,2.55,357,566,51,12.2,6,2480,8.4,1544,83.9,3.4,26,43,13,2417,279,0.475609756
,,,,,,,,,,,,,,,,,,
St. Louis Blues,82,2.35,342,535,75,14.6,6,2335,8.3,1373,82.2,3.46,21,46,15,2510,284,0.43902439
,,,,,,,,,,,,,,,,,,
Buffalo Sabres,82,3.63,534,832,71,17.4,8,2417,12.3,1200,81.3,2.9,53,22,7,2542,238,0.731707317
,,,,,,,,,,,,,,,,,,
Ottawa Senators,82,3.49,508,794,72,17.9,17,2651,10.8,1173,84.5,2.63,48,25,9,2479,216,0.695121951
,,,,,,,,,,,,,,,,,,
Pittsburgh Penguins,82,3.26,468,735,94,20.3,14,2366,11.3,1249,82.1,2.93,47,24,11,2530,240,0.707317073
,,,,,,,,,,,,,,,,,,
Colorado Avalanche,82,3.26,472,739,79,21.1,7,2603,10.3,884,80.2,3.01,44,31,7,2378,247,0.62195122
,,,,,,,,,,,,,,,,,,
Nashville Predators,82,3.24,473,739,71,17.4,8,2261,11.8,1179,85.8,2.52,51,23,8,2561,207,0.719512195
,,,,,,,,,,,,,,,,,,
San Jose Sharks,82,3.12,459,715,92,22.4,7,2346,10.9,955,83.3,2.4,51,26,5,2149,197,0.682926829
,,,,,,,,,,,,,,,,,,
Calgary Flames,82,3.11,446,701,73,18.2,15,2242,11.4,1204,80.4,2.7,43,29,10,2502,221,0.646341463
,,,,,,,,,,,,,,,,,,
Toronto Maple Leafs,82,3.1,445,699,71,17.7,3,2681,9.5,1139,78.5,3.2,40,31,11,2330,262,0.62195122
,,,,,,,,,,,,,,,,,,
Anaheim Ducks,82,3.1,453,707,89,22.3,4,2582,9.8,1452,85,2.42,48,20,14,2248,198,0.756097561
,,,,,,,,,,,,,,,,,,
Detroit Red Wings,82,3.07,431,683,68,17.1,12,2771,9.1,982,84.6,2.33,50,19,13,2020,191,0.768292683
,,,,,,,,,,,,,,,,,,
Florida Panthers,82,2.99,417,662,61,18.1,5,2730,9,1181,82.4,3.04,35,31,16,2402,249,0.62195122
,,,,,,,,,,,,,,,,,,
Tampa Bay Lightning,82,2.96,422,665,69,18.4,14,2418,10.1,897,78.4,3.16,44,33,5,2234,259,0.597560976
,,,,,,,,,,,,,,,,,,
Carolina Hurricanes,82,2.94,429,670,67,15,12,2559,9.4,1021,84.6,3.02,40,34,8,2336,248,0.585365854
,,,,,,,,,,,,,,,,,,
New York Islanders,82,2.93,422,662,63,18.1,7,2459,9.8,1062,81.8,2.87,40,30,12,2672,235,0.634146341
,,,,,,,,,,,,,,,,,,
Montreal Canadiens,82,2.91,399,638,86,22.8,17,2426,9.9,1133,83.5,3.06,42,34,6,2685,251,0.585365854
,,,,,,,,,,,,,,,,,,
Winnipeg Jets,82,2.91,397,636,67,16.5,9,2438,9.8,1097,79.8,2.94,43,28,11,2582,241,0.658536585
,,,,,,,,,,,,,,,,,,
Washington Capitals,82,2.85,380,614,67,16.4,12,2295,10.2,1233,80.2,3.35,28,40,14,2734,275,0.512195122
,,,,,,,,,,,,,,,,,,
New York Rangers,82,2.84,410,643,75,18.5,11,2586,9,1109,83.8,2.57,42,30,10,2329,211,0.634146341
,,,,,,,,,,,,,,,,,,
Minnesota Wild,82,2.74,386,611,72,18.9,9,2431,9.3,862,86,2.24,48,26,8,2361,184,0.682926829
